politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,category,topics
79335,Mitglied des Verwaltungsrates,Einkommen im Jahr 2025,Sparkasse Göttingen,1,2520.0,,1769614629,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79335,Mitglied des Verwaltungsrates,,Sparkasse Göttingen,,415.0,1,1769614563,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79335,Mitglied des Verwaltungsrates (ab 11.02.2026),,Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin),,,,1769613927,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Staat und Verwaltung"
79335,"Mitglied des Fachbeirates, ehrenamtlich (ab 15.09.2025)",,NWB Verlag GmbH & Co. KG,,,,1769587816,29647,"Medien, Kommunikation und Informationstechnik"
79335,Mitglied des Beirates,Einkommen im Jahr 2025,DATEV eG,,450.0,,1769587523,29228,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79335,Mitglied des Beirates,,DATEV eG,2,4140.0,2,1769587460,29228,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79335,Mitglied des Beirates,,DATEV eG,,,,1769587362,29228,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79335,Wirtschaftsprüfer/Steuerberater,,Prof. Dr. Ludewig + Sozien GmbH & Co. KG Wirtschaftsprüfungsgesellschaft | Steuerberatungsgesellschaft | Rechtsanwälte,,,,1769586847,29647,Recht|Finanzen
79335,Wirtschaftsprüfer/Steuerberater,Mandate 21. Wahlperiode,Prof. Dr. Ludewig + Sozien GmbH & Co. KG Wirtschaftsprüfungsgesellschaft | Steuerberatungsgesellschaft | Rechtsanwälte,,,,1769586667,29647,Recht|Finanzen
79335,Wirtschaftsprüfer/Steuerberater,Mandate 21. Wahlperiode,Quattek & Partner Steuerberatungsgesellschaft mbB,,,,1769586505,29647,Wirtschaft
79335,Wirtschaftsprüfer/Steuerberater,Einkommen im Jahr 2025,Quattek & Partner Steuerberatungsgesellschaft mbB,7,79000.0,,1769586426,29647,Wirtschaft
79335,Wirtschaftsprüfer/Steuerberater,,Quattek & Partner Steuerberatungsgesellschaft mbB,3,8000.0,1,1769586303,29647,Wirtschaft
79335,Wirtschaftsprüfer/Steuerberater,Einkommen im Jahr 2025,Prof. Dr. Ludewig + Sozien GmbH & Co. KG Wirtschaftsprüfungsgesellschaft | Steuerberatungsgesellschaft | Rechtsanwälte,4,25000.0,,1769585881,29647,Recht|Finanzen
79335,Wirtschaftsprüfer/Steuerberater,,Prof. Dr. Ludewig + Sozien GmbH & Co. KG Wirtschaftsprüfungsgesellschaft | Steuerberatungsgesellschaft | Rechtsanwälte,3,8500.0,1,1769585603,29647,Recht|Finanzen
79390,Rechtsanwalt,Mandate 21. Wahlperiode,Rechtsanwalt - freiberuflich,,,,1769584975,29647,Recht
79390,"Mitglied des Beirates, ehrenamtlich (ab 27.11.2025) ",,Albert-Ludwigs-Universität Freiburg,,,,1769584053,29229,Bildung und Erziehung
79390,"Beisitzer, ehrenamtlich (ab 03.06.2025)",,Trägerverein Netzwerk Berlin e.V.,,,,1769583719,29230,"Bildung und Erziehung|Gesellschaftspolitik, soziale Gruppen|Jugend|Soziale Sicherung|Politisches Leben, Parteien"
145877,Mitglied des Kuratoriums (ab Juli 2025),,Soldaten und Veteranen Stiftung (SVS),,,,1769507077,29230,Verteidigung
145877,Mitglied des Präsidiums (ab 23.09.2025),,Förderkreis Deutsches Heer e.V. (FKH),,,,1769507004,29230,Verteidigung
119861,Vorsitzender des Aufsichtsrates (ab 18.11.2025),,Universität Witten/Herdecke gemeinnützige GmbH,,,,1769506565,29228,Bildung und Erziehung
141311,Mitglied des Beirates für sparkassenpolitische Grundsatzfragen (ab 18.11.2025),,Sparkassenverband Bayern,,,,1769505633,29229,Finanzen
131019,"Präsidentin, ehrenamtlich (ab 16.09.2025)",,Help - Hilfe zur Selbsthilfe e.V.,,,,1769505425,29230,"Gesellschaftspolitik, soziale Gruppen|Soziale Sicherung"
131019,"Mitglied des Vorstandes, ehrenamtlich (ab 12.12.2025) ",,Friends of the Global Fund Europe,,,,1769505156,29230,Europapolitik und Europäische Union|Gesundheit
130072,"Mitglied des Direktoriums, ehrenamtlich","Vorsitzender des Direktoriums, ehrenamtlich (ab 05.12.2025)",Gesellschaft für die Verleihung des Internationalen Karlspreises zu Aachen e.V.,,,,1769504411,29230,Kultur
145863,"Mitglied des Kuratoriums der Edmund-Rehwinkel-Stiftung, von Amts wegen (ab 13.11.2025)",,Landwirtschaftliche Rentenbank,,,,1769500993,29229,"Landwirtschaft und Ernährung|Öffentliche Finanzen, Steuern und Abgaben"
175596,Mitglied des Kuratoriums (ab 24.09.2025),,Stiftung Fonds zur Finanzierung der kerntechnischen Entsorgung (KENFO),,,,1769500360,29229,"Wissenschaft, Forschung und Technologie|Energie|Öffentliche Finanzen, Steuern und Abgaben"
175410,Mitglied des Kuratoriums (ab 01.01.2026),,Weizenbaum-Institut e. V.,,,,1769499752,29230,"Medien, Kommunikation und Informationstechnik|Digitale Agenda|digitale Infrastruktur"
175410,Mitglied des Beirates für sparkassenpolitische Grundsatzfragen (ab 18.11.2025),,Sparkassenverband Bayern,,,,1769499639,29229,Finanzen
168396,Übernahme Reisekosten,Einnahmen im Jahr 2025,ELNET Deutschland e.V.,1,3427.34,,1769441650,29232,"Gesellschaftspolitik, soziale Gruppen"
78812,Mitglied des Stiftungsrates (ab 16.12.2025),,Stiftung Wissenschaft und Politik (SWP),,,,1769441321,29230,"Politisches Leben, Parteien|Wissenschaft, Forschung und Technologie"
31707,Radiologin,Einkommen ab 01.01.2026,MedVZ Medizinisches Versorgungszentrum am Universitätsklinikum Leipzig gemeinnützige GmbH,,740.48,1,1769440803,29647,Gesundheit
79097,Mitglied des Kuratoriums (ab 05.09.2025),,Marie-Schlei-Verein e.V.,,,,1769440272,29230,"Entwicklungspolitik|Gesellschaftspolitik, soziale Gruppen"
79097,Mitglied des Kuratoriums (ab 04.11.2025),,Freiheit für die Westsahara e.V.,,,,1769440131,29230,Außenpolitik und internationale Beziehungen
79021,"Mitglied des Beirates, ehrenamtlich",,Frauenberatungsstelle Krefeld e.V.,,,,1769425055,29230,"Gesellschaftspolitik, soziale Gruppen|Frauen"
79021,"Mitglied des Vorstandes, ehrenamtlich (ab 10.07.2025)",,Deutsche Stiftung Weltbevölkerung (DSW),,,,1769424799,29230,Staat und Verwaltung
79021,"Kooptiertes Mitglied des Kuratoriums, ehrenamtlich",,"Stiftung ""Erinnerung, Verantwortung und Zukunft""",,,,1769424635,29229,"Politisches Leben, Parteien"
78904,Mitglied des Stadtrates,Einkommen im Jahr 2025,Stadt Lichtenfels,1,1171.26,,1769424258,29229,Staat und Verwaltung
78904,Mitglied des Stadtrates,,Stadt Lichtenfels,,196.92,1,1769424136,29229,Staat und Verwaltung
79194,Stellv. Mitglied des Kuratoriums (ab 06.11.2025),,Stiftung Deutsches Historisches Museum (DHM),,,,1769418171,29229,Kultur
79307,"Mitglied des Kuratoriums, ehrenamtlich (ab 10.07.2025)",,Stiftung Forum Recht,,,,1769417889,29229,Recht
79336,Mitglied des Zukunftsrates,,Verband der Sparda-Banken e.V.,1,2380.0,2,1769416801,29230,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79336,Mitglied des Vorstandes,,Institut Mittelstand & Compliance e.V.,,,,1769416705,29230,"Wissenschaft, Forschung und Technologie|Wirtschaft"
79336,Mitglied des Verwaltungsrates,Einkommen im Jahr 2025,Kreditanstalt für Wiederaufbau (KfW),,400.0,,1769416516,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79336,Mitglied des Verwaltungsrates,,Kreditanstalt für Wiederaufbau (KfW),2,5948.0,2,1769416441,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79336,Mitglied des Aufsichtsrates (ab 25.07.2025) ,Einkommen bis 2025,Volksbank Kraichgau eG,3,8000.0,2,1769416280,29228,Finanzen
79336,Stellv. Vorsitzender des Aufsichtsrates (bis 25.07.2025),,Volksbank Kraichgau eG,,,,1769416221,29228,Finanzen
79336,Vertrauensmann bei der Wüstenrot Bausparkasse AG,,Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin),,,,1769415965,29228,"Öffentliche Finanzen, Steuern und Abgaben|Staat und Verwaltung"
79336,Rechtsanwalt - Mandate 21. WP,,Gutting Steuerberater und Rechtsanwälte GbR,,,,1769415761,29647,Recht
79334,Beteiligung,,"Venedey, Dr. Gysi, Höfler Rechtsanwälte in Partnerschaft",,,,1769201787,29231,Recht
79334,Mitglied des Politischen Beirates,,Bundesverband mittelständische Wirtschaft Unternehmerverband Deutschlands e.V. (BVMW),,,,1769201702,29230,Wirtschaft
79334,Mitglied des Beirates für gemeinnützige Zwecke,Einkommen im Jahr 2025,Spielbank Berlin GmbH & Co. KG,2,6302.52,,1769201632,29228,Wirtschaft
79334,Mitglied in der Jury zur Vergabe des Powered by Philip Morris Award,Einkommen im Jahr 2025,Boros GmbH,2,7000.0,,1769201450,29228,"Medien, Kommunikation und Informationstechnik"
79334,Rechtsanwalt - Mandant 2,Einkommen im Jahr 2025,"Venedey, Dr. Gysi, Höfler Rechtsanwälte in Partnerschaft",1,,,1769201365,29647,Recht
79334,Vortragstätigkeiten - Gespräch mit Ralf Möller,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,1800.0,,1769201257,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Joe Bausch,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769201216,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Hazel Brugger,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769201190,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Matthias Riedl,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769201157,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Dr. Alexander Stevens,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769201131,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Angelika Milster,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769201105,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Jürgen Becker,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769201074,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Dr. Manfred Lutz,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769201041,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Florian Martens,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769200999,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Andrea Kiewel,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769200968,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Ricarda Lang,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769200939,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Till Brönner,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769200910,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Inka Bause,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1769200282,29647,Kultur
79334,Vortragstätigkeiten - Gespräch zu politischen Sichten und Privatleben,Einkommen im Jahr 2025,Theater Regensburg,1,1200.0,,1769200148,29647,Kultur
79334,Vortragstätigkeiten - Vortrag bei einer Veranstaltung der Stadtbetriebe Siegburg,Einkommen im Jahr 2025,The London Speaker Bureau,1,3000.0,,1769200048,29647,Wirtschaft
79334,Vortragstätigkeiten - Streitgespräch mit Thomas Gottschalk bei einer Tagung des Maklerverbandes in Berlin,Einkommen im Jahr 2025,"Ring Deutscher Makler, Verband der Immobilienberufe und Hausverwalter (RDM) – Landesverband Berlin & Brandenburg e.V.",2,5000.0,,1769199366,29647,"Raumordnung, Bau- und Wohnungswesen|Wirtschaft"
79334,Vortragstätigkeiten - Veranstaltung (Gysi gegen Guttenberg),Einkommen im Jahr 2025,Openminds Media GmbH,2,3650.0,,1769199296,29647,Medien
79334,Vortragstätigkeiten - Veranstaltung (Gysi gegen Guttenberg),Einkommen im Jahr 2025,Openminds Media GmbH,1,3500.0,,1769199276,29647,Medien
79334,Vortragstätigkeiten - Veranstaltung (Gysi gegen Guttenberg),Einkommen im Jahr 2025,Openminds Media GmbH,1,2000.0,,1769199190,29647,Medien
79334,Vortragstätigkeiten - Veranstaltung (Gysi gegen Guttenberg),Einkommen im Jahr 2025,Openminds Media GmbH,1,2000.0,,1769199087,29647,Medien
79334,Vortragstätigkeiten - Gespräch mit Freiherr von und zu Guttenberg in Bremen,Einkommen im Jahr 2025,Openminds Media GmbH,1,1700.0,,1769182931,29647,Medien
