politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
184038,Katrin Fey,Die Linke,Angestellte der DRK Kinderklinik ,1967.0,,f,Diplom-Sozialpädagogin,-8.024961,9.144446
177546,Thomas Fetsch,AfD,Rechtsanwalt,1969.0,,m,Jurist,-3.9817333,-8.69372
183497,Jan Feser,AfD,,,,m,,-5.3932405,-9.136561
145833,Peter Felser,AfD,"MdB, Unternehmer",1969.0,,m,Diplom Pädagoge (univ.),-4.0008855,-8.679843
79391,Uwe Feiler,CDU/CSU,MdB,1965.0,,m,Dipl. Finanzwirt,7.2629185,0.29537734
183487,Micha Fehre,AfD,Unternehmer & Geschäftsführer,1997.0,,m,,-3.9686117,-8.752474
79390,Johannes Fechner,SPD,MdB,1972.0,,m,Jurist,7.237478,0.33151457
183267,Fabian Fahl,Die Linke,Wissenschaftlicher Mitarbeiter,1993.0,Dr.,m,Dr. rer. nat. (Geographie),-7.9888444,9.175062
135391,Nancy Faeser,SPD,,1970.0,,f,,7.22863,0.22136593
147569,Michael Espendiller,AfD,MdB,1989.0,Dr.,m,Promovierter Mathematiker,-3.966134,-8.667409
79387,Saskia Esken,SPD,MdB,1961.0,,f,staatl. gepr. Informatikerin,7.2278605,0.26240486
146813,Wiebke Esdar,SPD,MdB,1984.0,Dr.,f,Promovierte Psychologin,7.2537003,0.36683917
182825,Bastian Alfons Ernst,CDU/CSU,Leiter Geschäftsfeldentwicklung,1987.0,,m,Betriebswirt,7.249836,0.34860334
145903,Thomas Erndl,CDU/CSU,MdB,1974.0,,m,Diplom Ingenieur (FH) Mikroelektronik,7.2602715,0.30808538
175872,Martina Englhardt-Kopf,CDU/CSU,MdB,1981.0,,f,Dipl.-Handelslehrerin,7.2559342,0.36829525
175826,Alexander Engelhard,CDU/CSU,MdB,1972.0,,m,"Müller, Dipl.-Wirtschaftsingenieur",7.237387,0.25273538
146042,Marcel Emmerich,BÜNDNIS 90/­DIE GRÜNEN,MdB,1991.0,,m,Wissenschaftlicher Referent,-3.132178,7.797494
182015,Mandy Eißing,Die Linke,Büroleiterin M. Schirdewan Die Linke (MdEP) Thüringen,1976.0,,f,Friseurin,-7.9417014,9.138874
175496,Sonja Eichwede,SPD,MdB,1987.0,,f,Volljuristin,7.190734,0.34014952
175864,Lars Ehm,CDU/CSU,,1976.0,,m,Jurist,7.271703,0.24805625
175308,Mirze Edis,Die Linke,Betriebsratsmitglied,1972.0,,m,Stahlschlosser ,-7.991957,8.95304
175880,Ralph Edelhäußer,CDU/CSU,MdB,1973.0,,m,,7.2867584,0.28718194
175610,Leon Eckert,BÜNDNIS 90/­DIE GRÜNEN,Bundestagsabgeordneter,1995.0,,m,Betriebswirt (B.Sc.) & Historiker (B.A.),-3.198509,7.5403433
79405,Harald Ebner,BÜNDNIS 90/­DIE GRÜNEN,MdB,1964.0,,m,Diplom-Agraringenieur,-3.06462,7.8538747
175859,Joachim Ebmeyer,CDU/CSU,Volkswirt,1985.0,,m,Volkswirt,7.2692432,0.29404515
183515,Tobias Ebenberger,AfD,Social Media - Angestellter,1990.0,,m,,-3.9890192,-8.786504
175555,Deborah Düring,BÜNDNIS 90/­DIE GRÜNEN,Studentin Friedens- und Konfliktforschung (Master) & Studentische Hilfskraft bei Survival International,1994.0,,f,Sozialwissenschaftlerin (B.A. Sozialwissenschaft),-2.5642567,7.8489423
182893,Hülya Düber,CDU/CSU,Sozialreferentin Stadt Würzburg,1978.0,Dr.,f,Volljuristin,7.2451024,0.3296234
175425,Felix Döring,SPD,MdB,1991.0,,m,Gymnasiallehrer,7.268099,0.29174685
183012,Timon Dzienus,BÜNDNIS 90/­DIE GRÜNEN,,,,m,,-3.133169,7.838577
79404,Hansjörg Durz,CDU/CSU,MdB,1971.0,,m,Dipl. Kaufmann,7.242223,0.32461306
181945,Christopher Drößler,AfD,,1995.0,,m,Polizeibeamter,-3.973483,-8.7436075
79403,Katharina Dröge,BÜNDNIS 90/­DIE GRÜNEN,MdB und Fraktionsvorsitzende,1984.0,,f,Diplom-Volkswirtin,-3.1250846,7.702141
175424,Falko Droßmann,SPD,MdB,1973.0,,m,"Historiker, Soldat",7.271503,0.3512974
179922,Christian Douglas,AfD,,1978.0,,m,,-4.0714974,-8.681742
182894,Florian Dorn,CDU/CSU,Direktor von EconPol Europe,,Dr.,m,Masterabschluss in Economics,7.2888336,0.34173518
79397,Michael Donth,CDU/CSU,MdB,1967.0,,m,Dipl.-Verwaltungswirt (FH),7.287498,0.29878727
79412,Alexander Dobrindt,CDU/CSU,MdB,1970.0,,m,Diplom-Soziologe,7.248444,0.24217822
79411,Sabine Dittmar,SPD,MdB,1964.0,,f,Ärztin,7.2027993,0.31553206
183145,Jeanne Dillschneider,BÜNDNIS 90/­DIE GRÜNEN,,,,f,Rechtsanwältin,-3.033435,7.7106695
146823,Esther Dilcher,SPD,MdB,1965.0,,f,Juristin,7.2736225,0.35106206
31274,Thomas Dietz,AfD,Bundestagsabgeordneter,1967.0,,m,,-3.244272,-8.8145485
175438,Jan Dieren,SPD,MdB,1991.0,,m,Jurist,4.853468,-1.4521068
29534,Sandra Detzer,BÜNDNIS 90/­DIE GRÜNEN,MdB,1980.0,Dr.,f,Politik- und Volkswirtschaftlerin,-2.9182854,7.7913704
110038,Ellen Demuth,CDU/CSU,MdL,1982.0,,f,Diplom-Bertriebswirtin,7.251888,0.3103445
175431,Hakan Demir,SPD,MdB,1984.0,,m,Politikwissenschaftler,6.93846,1.6485455
119861,Janosch Dahmen,BÜNDNIS 90/­DIE GRÜNEN,MdB & Notfallmediziner,1981.0,Dr.,m,Arzt,-3.0526552,7.8526464
